merchant_id,industry,signup_date,avg_ticket_size,weekly_txn_rate,decline_rate
MCH100000,Subscription / SaaS,2025-05-09,31.22,4.14,0.05
MCH100001,Utilities & Billing,2025-12-01,14.99,2.08,0.0447
MCH100002,Professional Services,2025-01-22,10.49,0.89,0.0067
MCH100003,Travel & Hospitality,2025-07-10,64.32,7.01,0.0805
MCH100004,E-commerce Retail,2025-09-24,71.51,4.61,0.0417
MCH100005,E-commerce Retail,2026-03-18,44.77,2.76,0.0691
MCH100006,E-commerce Retail,2026-02-15,17.05,4.47,0.005
MCH100007,Marketplace,2024-12-26,12.62,5.31,0.0143
MCH100008,Travel & Hospitality,2025-01-26,8.74,1.15,0.052
MCH100009,Professional Services,2025-11-12,20.89,4.31,0.0781
MCH100010,E-commerce Retail,2025-10-07,13.39,1.41,0.0385
MCH100011,Utilities & Billing,2024-11-01,6.62,5.49,0.0293
MCH100012,Digital Goods,2024-10-21,70.2,2.03,0.1536
MCH100013,E-commerce Retail,2024-07-12,9.79,4.53,0.1039
MCH100014,E-commerce Retail,2024-11-03,97.9,1.59,0.0461
MCH100015,E-commerce Retail,2026-01-16,54.28,4.78,0.0505
MCH100016,Subscription / SaaS,2025-05-27,49.12,0.92,0.2495
MCH100017,Food & Beverage,2025-04-09,193.51,2.55,0.0415
MCH100018,Food & Beverage,2024-11-17,10.12,6.56,0.0318
MCH100019,Subscription / SaaS,2025-08-05,87.69,3.92,0.0245
MCH100020,Travel & Hospitality,2024-10-05,27.18,2.98,0.0597
MCH100021,E-commerce Retail,2025-11-29,478.7,14.93,0.0758
MCH100022,Subscription / SaaS,2026-01-20,25.01,6.85,0.114
MCH100023,Subscription / SaaS,2024-09-07,21.28,5.79,0.0367
MCH100024,Food & Beverage,2024-10-26,56.01,4.75,0.0759
MCH100025,Digital Goods,2024-08-28,29.7,5.38,0.0923
MCH100026,E-commerce Retail,2024-08-02,17.14,12.9,0.0564
MCH100027,Food & Beverage,2025-05-14,13.87,1.62,0.0642
MCH100028,Travel & Hospitality,2024-08-19,157.31,6.75,0.0636
MCH100029,E-commerce Retail,2025-11-01,11.43,3.51,0.0503
MCH100030,Travel & Hospitality,2024-07-19,45.75,1.68,0.0938
MCH100031,E-commerce Retail,2025-01-13,105.23,2.23,0.0572
MCH100032,E-commerce Retail,2025-09-23,110.44,3.06,0.023
MCH100033,Utilities & Billing,2026-01-10,20.05,1.04,0.0471
MCH100034,Utilities & Billing,2026-05-10,29.78,5.84,0.025
MCH100035,Digital Goods,2025-09-25,24.53,2.22,0.0964
MCH100036,Subscription / SaaS,2025-04-15,7.89,2.68,0.0198
MCH100037,E-commerce Retail,2024-11-18,62.65,9.56,0.0166
MCH100038,Professional Services,2024-09-22,38.03,2.8,0.0133
MCH100039,Food & Beverage,2026-05-25,154.56,11.62,0.0215
MCH100040,E-commerce Retail,2025-07-26,16.07,1.46,0.0491
MCH100041,Food & Beverage,2026-02-11,108.71,0.82,0.0516
MCH100042,E-commerce Retail,2025-01-31,116.66,1.84,0.0067
MCH100043,Marketplace,2025-12-08,38.36,0.15,0.0221
MCH100044,Subscription / SaaS,2025-01-31,5.0,6.08,0.031
MCH100045,Professional Services,2025-08-07,21.92,0.87,0.0275
MCH100046,Subscription / SaaS,2024-11-05,218.3,1.33,0.136
MCH100047,Food & Beverage,2025-10-20,49.26,5.03,0.0327
MCH100048,Travel & Hospitality,2025-08-08,73.21,2.77,0.0232
MCH100049,E-commerce Retail,2024-07-29,33.48,1.58,0.1031
MCH100050,Utilities & Billing,2025-06-03,29.27,0.32,0.0545
MCH100051,Digital Goods,2025-06-26,5.66,9.03,0.0744
MCH100052,Marketplace,2026-01-20,81.02,5.07,0.0384
MCH100053,Marketplace,2025-07-27,107.74,19.22,0.1597
MCH100054,Travel & Hospitality,2025-02-03,14.14,1.35,0.042
MCH100055,Marketplace,2026-01-25,30.6,0.57,0.016
MCH100056,E-commerce Retail,2026-04-30,26.74,6.65,0.0744
MCH100057,E-commerce Retail,2025-01-18,55.71,2.04,0.0621
MCH100058,E-commerce Retail,2024-07-17,21.23,4.61,0.0334
MCH100059,Subscription / SaaS,2025-05-18,92.88,12.43,0.1805
MCH100060,Food & Beverage,2025-11-30,39.3,3.63,0.0205
MCH100061,Subscription / SaaS,2026-01-21,5.0,2.91,0.1121
MCH100062,Digital Goods,2025-05-21,56.98,3.1,0.0311
MCH100063,Subscription / SaaS,2025-08-16,99.12,0.48,0.074
MCH100064,Subscription / SaaS,2025-05-14,11.56,7.45,0.4067
MCH100065,Travel & Hospitality,2026-05-12,55.08,7.94,0.023
MCH100066,E-commerce Retail,2024-09-20,228.14,4.18,0.119
MCH100067,Digital Goods,2025-10-17,40.94,0.54,0.1173
MCH100068,E-commerce Retail,2025-10-11,114.62,2.18,0.0667
MCH100069,Utilities & Billing,2025-08-29,23.52,10.37,0.151
MCH100070,Digital Goods,2026-05-20,35.95,1.4,0.0774
MCH100071,E-commerce Retail,2025-01-20,29.83,8.04,0.0414
MCH100072,E-commerce Retail,2026-02-03,24.85,2.6,0.0586
MCH100073,Digital Goods,2025-07-22,31.57,5.02,0.0416
MCH100074,Professional Services,2024-10-06,7.17,1.63,0.0494
MCH100075,Professional Services,2025-06-10,26.29,2.68,0.0283
MCH100076,Digital Goods,2025-01-24,139.46,3.81,0.0223
MCH100077,E-commerce Retail,2025-11-26,13.96,0.83,0.0588
MCH100078,Subscription / SaaS,2026-03-28,12.6,3.23,0.0579
MCH100079,E-commerce Retail,2026-02-06,38.91,0.17,0.0187
MCH100080,Marketplace,2024-12-13,40.9,1.35,0.1123
MCH100081,Professional Services,2024-07-22,53.38,4.24,0.0333
MCH100082,Subscription / SaaS,2024-12-01,32.66,7.54,0.0859
MCH100083,E-commerce Retail,2025-09-12,39.33,3.95,0.1425
MCH100084,Subscription / SaaS,2025-04-21,25.77,0.61,0.0201
MCH100085,Subscription / SaaS,2025-02-04,10.22,6.91,0.0716
MCH100086,Professional Services,2026-04-30,34.08,0.79,0.0304
MCH100087,Professional Services,2025-11-07,75.54,4.55,0.0325
MCH100088,Marketplace,2025-02-15,61.26,0.81,0.0291
MCH100089,Food & Beverage,2024-07-20,6.4,1.14,0.0459
MCH100090,E-commerce Retail,2026-01-04,47.08,0.95,0.1121
MCH100091,Professional Services,2024-11-25,14.99,2.83,0.0265
MCH100092,Digital Goods,2024-10-16,147.25,2.02,0.1306
MCH100093,Travel & Hospitality,2025-08-07,50.72,4.09,0.1654
MCH100094,Digital Goods,2026-02-16,89.68,2.41,0.1099
MCH100095,Food & Beverage,2025-10-26,37.38,0.54,0.0277
MCH100096,Food & Beverage,2025-07-02,34.26,3.24,0.0961
MCH100097,Food & Beverage,2025-08-18,163.34,0.42,0.0229
MCH100098,E-commerce Retail,2025-05-05,96.81,1.02,0.0395
MCH100099,E-commerce Retail,2024-11-11,41.18,1.71,0.0338
MCH100100,E-commerce Retail,2025-04-09,29.97,1.59,0.0224
MCH100101,Professional Services,2024-09-11,6.64,0.47,0.0097
MCH100102,Subscription / SaaS,2025-10-24,50.63,9.69,0.0316
MCH100103,Food & Beverage,2025-06-17,32.26,12.78,0.066
MCH100104,Marketplace,2026-01-11,63.69,23.35,0.0447
MCH100105,Subscription / SaaS,2025-05-22,86.3,7.75,0.0656
MCH100106,Food & Beverage,2025-09-16,125.58,1.66,0.0056
MCH100107,Digital Goods,2024-10-08,51.26,1.63,0.0418
MCH100108,E-commerce Retail,2024-08-28,12.85,1.54,0.0176
MCH100109,E-commerce Retail,2025-11-20,5.0,17.91,0.0645
MCH100110,Subscription / SaaS,2025-03-15,16.04,2.19,0.1637
MCH100111,E-commerce Retail,2025-08-17,138.86,8.75,0.0692
MCH100112,Marketplace,2025-09-25,226.67,8.1,0.0388
MCH100113,Digital Goods,2024-09-03,28.85,2.97,0.1799
MCH100114,Professional Services,2026-02-15,8.49,0.58,0.025
MCH100115,Marketplace,2024-12-01,19.14,2.24,0.1073
MCH100116,Digital Goods,2025-03-23,114.18,2.85,0.0068
MCH100117,E-commerce Retail,2024-09-17,20.27,8.83,0.0866
MCH100118,Marketplace,2025-05-11,65.96,2.51,0.0234
MCH100119,Food & Beverage,2026-04-23,43.32,0.73,0.0101
MCH100120,Digital Goods,2026-01-11,74.44,6.61,0.1425
MCH100121,Marketplace,2025-03-05,225.43,1.96,0.1079
MCH100122,Subscription / SaaS,2026-03-02,66.01,0.19,0.2844
MCH100123,E-commerce Retail,2025-08-18,42.39,3.4,0.0264
MCH100124,E-commerce Retail,2024-07-25,251.73,4.06,0.1173
MCH100125,Food & Beverage,2025-04-10,51.91,1.06,0.0162
MCH100126,Digital Goods,2025-09-22,16.56,2.03,0.1388
MCH100127,Marketplace,2025-04-27,72.78,4.75,0.1604
MCH100128,E-commerce Retail,2024-09-06,57.25,3.43,0.1012
MCH100129,Food & Beverage,2024-07-07,26.9,0.52,0.049
MCH100130,Food & Beverage,2024-11-14,21.81,8.62,0.0361
MCH100131,E-commerce Retail,2024-12-11,27.16,13.55,0.0392
